community_area,311 INFORMATION ONLY CALL,Abandoned Vehicle Complaint,Blue Recycling Cart,Garbage Cart Maintenance,Graffiti Removal Request,Pothole in Street Complaint,Rodent Baiting/Rat Complaint,Street Light Out Complaint,Tree Trim Request (NO LONGER BEING ACCEPTED),Aircraft Noise Complaint
1,2,17,1,3,17,4,9,2,2,0
2,1,18,22,14,11,12,11,5,5,0
3,3,11,0,2,19,32,2,3,1,0
4,2,14,9,7,10,25,11,3,1,0
5,2,11,5,6,19,10,6,4,1,0
6,4,15,6,11,39,13,10,11,17,0
7,5,5,4,6,24,29,8,10,14,0
8,3,2,0,1,53,4,2,7,6,0
9,0,4,0,9,0,4,0,1,0,0
10,2,12,5,9,7,9,7,7,2,0
11,2,10,14,10,6,6,8,1,29,0
12,0,10,15,12,3,6,4,2,0,0
13,1,6,10,3,1,9,4,1,0,0
14,2,12,9,16,11,18,6,2,5,0
15,1,30,19,19,20,22,10,13,6,0
16,4,39,9,17,28,13,7,4,0,0
17,2,18,12,4,1,14,6,10,3,0
18,2,7,3,1,2,2,2,6,0,0
19,5,35,23,20,17,10,20,7,8,0
20,1,5,0,8,8,3,12,2,0,0
21,2,15,5,5,22,16,9,6,4,0
22,2,22,6,17,42,20,24,8,6,0
23,4,26,12,23,23,4,13,4,4,0
24,6,19,28,12,75,32,28,7,13,0
25,2,28,8,30,13,20,24,16,18,0
26,2,4,1,11,4,1,1,5,0,0
27,4,5,3,8,3,3,4,7,1,0
28,3924,9,3,1,35,18,11,10,2,0
29,2,13,1,18,11,0,2,5,8,0
30,4,17,4,13,45,1,1,7,7,0
31,3,5,1,8,51,7,5,3,5,0
32,2,2,0,0,41,5,1,4,1,0
33,5,3,0,2,9,12,0,11,1,0
34,2,0,10,3,1,1,0,5,0,0
35,2,6,1,3,2,4,3,1,9,0
36,0,4,1,1,1,2,0,1,6,0
37,1,1,0,1,6,1,2,0,0,0
38,5,11,1,5,0,2,5,7,3,0
39,1,5,0,5,1,0,1,1,0,0
40,0,1,0,1,2,5,3,1,7,0
41,0,0,1,1,7,2,3,3,1,0
42,2,3,0,8,4,4,4,1,0,0
43,6,12,10,6,3,5,5,11,3,0
44,1,12,3,15,2,2,4,6,0,1
45,1,1,8,1,0,1,3,0,0,0
46,5,5,9,11,4,4,1,5,5,0
47,0,0,0,3,1,0,0,1,0,0
48,1,4,3,6,1,2,0,2,1,0
49,10,12,2,9,4,11,4,11,1,0
50,0,7,1,6,1,2,0,2,2,0
51,5,1,3,2,5,8,0,9,0,0
52,0,9,6,13,6,6,2,4,5,0
53,3,4,2,12,1,10,0,10,9,0
54,1,1,1,0,0,2,0,0,0,0
55,1,0,0,5,0,0,0,4,0,0
56,1,15,10,9,18,17,6,8,10,0
57,0,12,3,0,19,3,0,5,1,0
58,2,12,3,15,49,18,1,8,0,0
59,1,4,11,3,28,4,2,2,14,0
60,0,12,12,13,34,5,8,4,10,0
61,4,22,13,13,32,14,15,4,0,0
62,1,19,13,5,17,8,1,2,0,0
63,1,36,15,8,36,11,6,4,0,0
64,1,9,4,7,5,5,11,7,0,0
65,3,20,12,15,29,10,7,7,5,0
66,6,23,8,11,23,10,7,9,5,0
67,4,15,5,17,6,8,4,4,4,0
68,4,5,2,15,5,8,5,11,1,0
69,7,13,1,10,0,5,4,14,9,0
70,2,6,3,16,7,18,4,15,2,0
71,2,19,8,15,1,16,9,9,3,0
72,4,4,11,4,0,10,1,4,3,0
73,1,13,16,12,0,8,10,5,5,0
74,0,1,3,7,0,1,4,5,0,0
75,2,1,11,11,2,5,5,6,13,0
76,2,4,0,0,0,1,0,1,9,3652
77,2,13,1,2,21,11,3,4,5,0
